Date d'envoi;Nom du mail;Details clics;Nombre d'utilisateurs;Total clics;;;;;;;
30/10/2024;CX_VDN_VDN20241030_MDG - Edition Soir abo;cta abo 80ans;9;10;;;;;;;
30/10/2024;CX_VDN_VDN20241030_MDG - Edition Soir nonabo;cta abo 80ans;30;31;;;;;;;
29/10/2024;CX_VDN_VDN20241029_MDG - Edition Matin;cta abo 80ans;14;14;;;;;;;
29/10/2024;CX_VDN_VDN20241029_MDG - Edition Soir abo;cta abo 80ans;11;11;;;;;;;
29/10/2024;CX_VDN_VDN20241029_MDG - Edition Soir nonabo;cta abo 80ans;46;50;;;;;;;
28/10/2024;CX_VDN_VDN20241028_MDG - Edition Matin;cta abo 80ans;10;11;;;;;;;
27/10/2024;CX_VDN_VDN20241027_MDG - Edition Matin;cta abo 80ans;8;8;;;;;;;
26/10/2024;CX_VDN_VDN20241026_MDG - Edition Matin;cta abo 80ans;10;10;;;;;;;
25/10/2024;CX_VDN_VDN20241025_MDG - Edition Matin;cta abo 80ans;1;1;;;;;;;
23/10/2024;CX_VDN_VDN20241023_MDG - Edition Matin;cta abo 80ans;6;9;;;;;;;
22/10/2024;CX_VDN_VDN20241022_MDG - Edition Matin;cta abo 80ans;5;6;;;;;;;
21/10/2024;CX_VDN_VDN20241021_MDG - Edition Matin;cta abo 80ans;7;7;;;;;;;
20/10/2024;CX_VDN_VDN20241020_MDG - Edition Matin;cta abo 80ans;4;4;;;;;;;
19/10/2024;CX_VDN_VDN20241019_MDG - Edition Matin;cta abo 80ans;7;9;;;;;;;
18/10/2024;CX_VDN_VDN20241018_MDG - Edition Matin;cta abo 80ans;5;5;;;;;;;
17/10/2024;CX_VDN_VDN20241017_MDG - Edition Matin;cta abo 80ans;4;5;;;;;;;
16/10/2024;CX_VDN_VDN20241016_MDG - Edition Matin;cta abo 80ans;5;7;;;;;;;
15/10/2024;CX_VDN_VDN20241015_MDG - Edition Matin;cta abo 80ans;6;7;;;;;;;
