Evénement - Niveau 1;Evénement - Niveau 2;Evénement - Niveau 3;Evénement - Niveau 4;Evénements;CTR;;;;;;
selligent;display;VDN_241107_undersocial_fal_santa - undersocial;N/A;721008;0,10%;;;;;;
selligent;click;VDN_241107_undersocial_fal_santa - undersocial;cta;711;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Date d'envoi;Campagne;#Mails cibles;#Mails delivres;#Rebonds;Taux de delivrabilite;#Vues uniques;Taux d'ouverture;#Clics uniques;Taux de clic;Taux de reactivite;Taux de desabo
12/11/2024;VDN_20241122_FID_FAL_SANTA_INSCRITS;524504;524019;485;99,91%;80172;15,30%;2587;0,49%;3,23%;0,00%
12/11/2024;VDN_20241122_FID_FAL_SANTA_ABONNES;36993;36979;14;99,96%;12034;32,54%;235;0,64%;1,95%;0,00%
;;561497;560998;499;99,94%;92206;23,92%;2822;0,57%;2,59%;0,00%
